Concesionario,Direccion,Responsable,Celular,Distrito,DiaVisita,Promotor,Cono
JHONY MOTORS,AV PROCERES DE LA INDEPENDENCIA 2335 COO,MISARI RODRIGUEZ JHONY GABRIEL, ,SAN JUAN DE LURIGANCHO,LU,7,17
JIMLCELLS,AV VAQUILLOS,JANET IRIS SONCO, ,ATE,VI,5,17
LA CASA DEL ESPEJO,AV. MEXICO 894,ROMAN VICTOR CASTILLA CHIUANTITO, ,LA VICTORIA,VI,5,17
LABORATORIO DIESEL STA. ISABEL - O17 -,AV. LOS CHANCOS MZ.K LT.25 LOS PINOS,LUZ SILVESTRE HUAMAN, ,SANTA ANITA,LU,5,17
LAVADO DE AUTOS FULL SONAX,AV LOS RUISE—OS 760 ,CALDERON ZAVALA KATHERINE ALCIRA, ,SANTA ANITA,MA,5,17
LEON CAR,AV NICOLAS DE PIEROLA 514 IND LA ESTRELL,RAMIREZ LEON JOHN ROBERT, ,ATE,LU,5,17
LIBRER√çA Y FOTOCOPIA A Y A,Av Canada 3564,Isuiza Salas Yanina,991288763,SAN LUIS,SA,5,17
LIBRERIA ANABEL-CE,AV. GRAN CHIMU N√Ç¬∞ 632 S.J.L,NELIDA INES TAIPE MEZA, ,SAN JUAN DE LURIGANCHO,JU,7,17
LIBRERIA BAZAR CHIMU,AV GRAN CHIMU 335,MARLENE INGA PE√É¬ëA,949423735,SAN JUAN DE LURIGANCHO,JU,7,17
LIBRERIA BAZAR ROMANCES - CE,AV. CANADA 3612,JOHANA MARIELA VICTORIA FARFAN, ,SAN LUIS,SA,5,17
LIBRERIA GESU,AV. LAS FLORES1532,JESUS MATILDE HUAMAN VEGA, ,SAN JUAN DE LURIGANCHO,MA,7,17
LIBRERIA LOCUTORIO BENAVIDES - CE,AV. MANUEL CISNEROS 1180,WILLIAN BENAVIDES, ,LA VICTORIA,VI,5,17
LIBRERIA MISHELL,AV. STA ROSA 1673,MONICA LAURA ALIAGA, ,SAN JUAN DE LURIGANCHO,SA,7,17
LLANTAS Y AROS SAN CAYETANO,AV LOS PROCERES DE LA INDEPENDENCIA 3599,MAGDA MONICA OTAROLA DE LA TORRE, ,SAN JUAN DE LURIGANCHO,SA,7,17
LOCUTORIO A Y F ,AV. LOS RUISE—ORES 673 ,VICTOR ANDRES GARCIA , ,SANTA ANITA,MA,5,17
LOCUTORIO INTERNET DIGITAL NET - CE,AV. LOS CHANCAS MZ.E LT.6,IRMA LLANOS LAUREANO,996836485,SANTA ANITA,JU,5,17
LOCUTORIO REY,AV. RIVA AGUERO 1211,C.P. LAS CASUARINAS MZ.A LT49, ,EL AGUSTINO,MI,5,17
LUBRICANTE JANIZ-CE,"AV. WISSE MZ. M15, LT. 15 MARCAL. CACERE",LEON ALEJANDRO DAVILA PIZARRO,991009080,SAN JUAN DE LURIGANCHO,SA,7,17
LUBRICANTES AGUAYTIA,MZ.B1 LT 8 URB. LOS PINOS,FELIZ ROJAS MIRABAL, ,SAN JUAN DE LURIGANCHO,JU,7,17
LUBRICANTES ALDO ,AV HEROES CENEPA MZ V1 LT 23 AAHH SANTA ,REYNOSO BACA ALDO CESAR, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES ANCASH,AV.PALACIOS JIMENEZ II MZ.A LT.44,DANIEL SAENZ, ,EL AGUSTINO,MI,5,17
LUBRICANTES BAYOVAR,AV. CARLOS MARIATEGUI MZ. 12 LT. 16,VILMA MIRANDA C., ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES CARHUARICRA,URB LAS PARDERAS DE PARIACHI AV HORACIO ,MIRIAM DORIS CARHUARICRA CELIS, ,ATE,LU,5,17
LUBRICANTES CARI,"AV. WISSE MZ.A, LT. 12 AA.HH CRUZ DE MOT",ELSA CARIN ANTUNEZ, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES CARLITOS,AV CENTRAL 4220-A - MZ N LT 2 - URB LAS,LUIS CARLOS HUARCAYA CERVANTES, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES DROMAR - O17 - CE,AV. URUBAMBA 459 (ALT. PLAZA VEA),PEDRO P. BUENO SOTO, ,ATE,JU,5,17
LUBRICANTES EL AMIGO,AV.CARRETERA CENTRAL-S.JUAN PARIACHI KM1,RICARDO YUPANQUI TINEO, ,ATE,MI,5,17
LUBRICANTES EL MILAGRO - STA ANITA,Av. Los chancas 247,ALEX CASTILLO CARO, ,SANTA ANITA,MA,5,17
LUBRICANTES EL ORION - SJL,San Juan de Lurigancho, , ,SAN JUAN DE LURIGANCHO,JU,7,17
LUBRICANTES EMANUEL,AV. LOS POSTES O17  165,JOSE LORENZO PUERTAS,994372212,SAN JUAN DE LURIGANCHO,LU,7,17
LUBRICANTES GAMARRA,MZ. M-8 LTE. 3  JUAN PABLO II  S.J. L (,SRA.MARIA GAMARRA GAMARRA, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES GMC - CE,AV. CARRETERA CENTRAL 838 KM.8,GROVER A. MENDEZ CABALLERO,980846436,ATE,LU,5,17
LUBRICANTES J Y G,AV. PROC. INDP. N∞ 3655 MZ. A LT. 8  PAR,HILDA CANDIA CUNO, ,SAN JUAN DE LURIGANCHO,SA,7,17
LUBRICANTES JHENNY,CALLE 4 MZ H LT 8 -  ASOC ANCIETA,ELVIRA CHAMORRO DORREGARAY,992806049,EL AGUSTINO,SA,5,17
LUBRICANTES JHOSELIN- 17 - CE,AV. CARRETERA CIENEGUILLA MZ.C LT.4,ISABEL MU√ëICO ARAUJO, ,CIENEGUILLA,MI,5,17
LUBRICANTES JUANCITO-CE,AV. 13 DE ENERO N¬∞ 1500,JUAN PORTA LLACUA,987103762,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES LOS PINOS-CE,"AV. PROC. CUADRA 32 MZ.C, LT. 16 URB. LO",APARICIO GUILLERMO GATO LINO,989305225,SAN JUAN DE LURIGANCHO,JU,7,17
LUBRICANTES LUISITO,MZ B LT 42 CANTO GRANDE,MARITZA MARIBEL MONCHON GONZALES, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES MA—UCO,AV PROCERES DE LA INDEPENDENCIA 458,JUAN  MANUEL ESTRADA, ,SAN JUAN DE LURIGANCHO,SA,7,17
LUBRICANTES MARI - SJL,MZ.K LT.10 ENRIQUE MONTENEGRO POR LOZA M,MARIA QUISPYTONGO VASQUEZ,993232220,SAN JUAN DE LURIGANCHO,SA,7,17
LUBRICANTES MARTINEZ II,AV BAUZATE MEZA 7776,MARTINEZ LUNA OBRULIO ROLANDO, ,LA VICTORIA,MI,5,17
LUBRICANTES MAURO,AV CESAR VALLEJO MZ B LT 2 URB CCATARI L,QUISPE VASQUEZ FRANK JOE, ,EL AGUSTINO,MI,5,17
LUBRICANTES MEZA,AV LAS FLORES PARD 18 URB SAN IGNACIO 22,JOSEFINA CLEMENTE CHINCHAY, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES MOVIL II,AV CESAR VALLEJO MZ B LT 2,ANGEL ZACARIAS ROBLADILLO, ,EL AGUSTINO,MI,5,17
LUBRICANTES OYOLA,MZ D LT 03 AAHH 02 DE SETIEMBRE,OYOLA CONDORI EDICSON, ,SAN JUAN DE LURIGANCHO,LU,7,17
LUBRICANTES PEREZ,AV.MAREATEGUI 2027,ROXANA PEREZ CANCHAYA,986406955,EL AGUSTINO,SA,5,17
LUBRICANTES PIERO ALEXANDER,AAHH 9 DE OCTUBRE - URB CANTO GRANDE,FLOR MARUJA INCA FLORES, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES QUEVEDO,AV.JARDINES 17 N√Ç¬∞ 1002 MZ.B LTE.16 (RE,SR.HECTOR QUEVEDO TEJADA, ,SAN JUAN DE LURIGANCHO,LU,7,17
LUBRICANTES REPUESTOS MI LEIFI,AV WIESSE MZ A LT 16 AAHH SOMOS LIBRES ,TINEO CHUQUIZUTA FIORELLA ISABEL, ,SAN JUAN DE LURIGANCHO,MI,7,17
LUBRICANTES REQUES,ASOC PARIACHI 1 ETAPA MZ A LT 05 HUAYCAN,MICHAEL ROY REQUES MEZA, ,ATE,LU,5,17
LUBRICANTES RUIZ-CE,AV. WISE MZ. H 4 LT.4 MARISCAL C.,SR.√Ç¬† SANTOS AMAYA AGUILAR, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICANTES SAN PEDRO - CE,Av. JosÈ Carlos Mari·tegui Mz. A Lt. 48,MARIO ELIAS COTRINA RENGIFO, ,HUACHIPA,LU,5,17
LUBRICANTES SE√ëOR DE LA SOLEDAD,AV. PROCERES DE LA INDEP. 3946 ALT.PARAD,RUTH CAMONES LAZARO, ,SAN JUAN DE LURIGANCHO,SA,7,17
LUBRICANTES TO√ëO-CE,"AV. WISSE MZ.A, LT. 44 NUENOS AIRES PARD",ELVA YANEZ GOMEZ,997747827,SAN JUAN DE LURIGANCHO,LU,7,17
LUBRICANTES VIRGEN DEL CARMEN,AV ROSA TORO 358,LORENZO HANCO AZUNI,993946579,SAN LUIS,SA,5,17
LUBRICANTES Y AUTOPARTES PILLACA-CE,AV. CARRETERA CIENEGUILLA MZ.A LT.47,MARTHA PILLACA QUISPE,99156123,CIENEGUILLA,MI,5,17
LUBRICANTES Y REP. J.M.E - O17 - CE,"AV. SAN MARTIN MZ.L, LT.6 CIENEGUILLA",JOSE ENRIQUE BERNABEL PEREZ,988648243,CIENEGUILLA,MI,5,17
LUBRICANTES Y SERVICIOS AUTOMOTRIZ MARMO,ASOC. RES. LAS VEGAS MZ.A 6 LT.31,LUZMILA M. PARADO EGOAVIL, ,SANTA ANITA,JU,5,17
LUBRICANTES YOEL,AV. PRINCIPAL MZ.B LT.5 SAN FRANCISCO-CA,ROGER ADRIAN TERREROS LOPEZ, ,SAN JUAN DE LURIGANCHO,JU,7,17
LUBRICENTRO CARAPONGO - CE,MZ. A LT.01 ASOC. VIQUEZ  CARAPONGO,HUGO RIVERA GAMARRA,945457943,HUACHIPA,LU,5,17
LUBRICENTRO CHIMU,AV. MALECON CHECA 1199 ZARATE S.J.L.,LEONCIO TORRES CACERES, ,SAN JUAN DE LURIGANCHO,JU,7,17
LUBRICENTRO CHOQUITO - CE,JR. LAS MICAS 151 CRUZE PROC. CDRA. 17 C,JUDITH CONDIZA HINOSTROZA, ,SAN JUAN DE LURIGANCHO,SA,7,17
LUBRICENTRO CHUMBIMUNE,AV.PARINACOCHAS 1782,FERMINA CABANILLAS OSTOS,98946492,LA VICTORIA,VI,5,17
LUBRICENTRO CORRALES -  CE,PARINACOCHA 1901,CORPUS NERI ASCENCIO, ,LA VICTORIA,VI,5,17
LUBRICENTRO DAYANA,"AV. MUNICIPAL MZ. B, LT. 9 CAMPOY",SR. PABLO ALBUNQUEQUE, ,SAN JUAN DE LURIGANCHO,JU,7,17
LUBRICENTRO EDUARDO,MZ A3 LT 17 ASOC LOS PORTALES AV METROPO,CRISTIAN EDUARDO CALDERON MONTOYA, ,SANTA ANITA,JU,5,17
LUBRICENTRO EL CUZQUE—O,AV.HUANCARAY MZ F LT 7,DILMER —A—A,986088500,SANTA ANITA,JU,5,17
LUBRICENTRO EL MILAGRO (MANCHAY) - O17,AV. VICTOR MALASQUEZ MZ.U LT.1   MANCHAY,ALBERTO C. CASTILLO CARO,945047701,CIENEGUILLA,MI,5,17
LUBRICENTRO EL ORION - STA ANITA,AV. HUANCARAY MZ.B LT.1,JESUS JUAN MEDALLA MEDINA,994124187,SANTA ANITA,JU,5,17
LUBRICENTRO ESTRADA,"AV. PRINCIPAL MZ.\""E\"" LT.4  5TA. ETAPA BC",SENOVIAQ ESTRADA RODRIGUEZ, ,SAN JUAN DE LURIGANCHO,JU,7,17
LUBRICENTRO GOOES,AV.DEL AIRE 1481,GONZALO MALPARTIDA, ,SAN LUIS,SA,5,17
LUBRICENTRO LOLI - CE,AV. CULTURA HUARI 230,AMADOR LOLI CASTILLO, ,SANTA ANITA,MA,5,17
LUBRICENTRO MANTARO - SANTA ANITA - CE,Av. Los Chancas 660 Andahuaylas,HOTMAR GARCIA RAMOS,996516649,SANTA ANITA,MA,5,17
LUBRICENTRO MARTINEZ-CE,AV.BAUZATE MEZA N-914,HELARIO MARTINEZ LUNA, ,LA VICTORIA,MI,5,17
LUBRICENTRO PIPO,AV.LIMA SUR LT.14 1RA RIVERA,VARGAS RAMOS MAGALY YOMAHARA, ,CHOSICA,LU,5,17
LUBRICENTRO RAFO I,AV. 13 DE ENERO N¬∞ 2177 URB. LA HUAYRONA,MAYCO RICHARD VALERO HILARIO,945248021,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICENTRO RIVERA-CE,AV. PROCERES DE LA INDP. 2143,SATURNINO SANTIAGO RIVERA TABOADA, ,SAN JUAN DE LURIGANCHO,LU,7,17
LUBRICENTRO ROQUE,AV.ESPERANZA MZ. A. LT. 4,ORLANDO ROQUE LUIS, ,ATE,LU,5,17
LUBRICENTRO ROQUE II,MZ A3 LT 45 STA CLARA,MEDINA VARGAS REYNALDA, ,ATE,LU,5,17
LUBRICENTRO SAN JUAN,MZ P2 LT 13 URB MARISCAL CACERES PARADER,SANTA CRUZ GONZALES NELLY, ,SAN JUAN DE LURIGANCHO,MA,7,17
LUBRICENTRO SHADAN,MZ A LT 18 ASOCIACION SAN CARLOS,CHAVEZ SOTO ANTONIO ISAAC, ,SANTA ANITA,MA,5,17
LUBRICENTRO Y REPUESTOS ANALI - CE,AV.PARINACOCHAS 1774,OLIVARES SANTOS LUCY SOLEDAD, ,LA VICTORIA,VI,5,17
M Y R HUACYON CORPORATION EIRL,JR LAS MICAS 151 URB LAS FLORES 78,ANGEL MAGUI√É¬ëA PAICO, ,SAN JUAN DE LURIGANCHO,SA,7,17
MAGUICARS,AV PROCERES DE LA INDEPENDENCIA 2165,CORDOVA ARAPA LIZ MAGALY, ,SAN JUAN DE LURIGANCHO,LU,7,17
"MATERIALES DE CONST. ""SE—OR DE MURUJUAY""",AV JOSE CARLOS MARIATEGUI MZ A LT 36 URB,MARY LUZ LLACZA ZARATE, ,ATE,LU,5,17
MATIZADOS JHON COLOR - CE,AV. CANAD√Å  2081,JULIA LAURENTE PILLACA, ,SAN LUIS,SA,5,17
MATIZADOS Y COLORES - SAN LUIS - CE,AV. CIRCUNVALACION, , ,SAN LUIS,SA,5,17
MAVILLANTA S.R.L I-CE,AV. WISSE N√Ç¬∞ 5340 MARIATEGUI COSTADO GRI,VICTOR QUEZADA SOTO,978292551,SAN JUAN DE LURIGANCHO,MA,7,17
MAXI CARS,AV PROCERES DE LA INDEPENDENCIA 2685 URB,ALVARADO PFUYO DEYSI, ,SAN JUAN DE LURIGANCHO,LU,7,17
MECANICA AUTOMOTRIZ HILTON-CE,AV. LOS POSTES 17 N¬∞ 629,HILTON BENANCIO UYOA, ,SAN JUAN DE LURIGANCHO,MA,7,17
MECANICA ELMER,JOSE CARLOS III 142 - ASOC AYACUCHO - LA,ELMER ARQUINIGO ROSAS, ,SAN JUAN DE LURIGANCHO,MA,7,17
MECANICA VASQUEZ-CE,AV.RIVA AG√úERO 1450,LUIS VASQUEZ, ,EL AGUSTINO,MI,5,17
MI LLANTA -CE,AV. PROC. INDEP. N√Ç¬∞ 2060 ENTRE EL PARD.,EDGARDO ECHEVARRIA SANCHEZ, ,SAN JUAN DE LURIGANCHO,LU,7,17
MI SOLUCION,MZ H4 LT 25 URB PROGRAMA CUIDAD MARISCAL,JUAN ELIAS OYARSE VIGO, ,SAN JUAN DE LURIGANCHO,MI,7,17
MICAS Y CHAPAS NANDITO,MZ B1 LT 22 - AV PROCERES - LOS PINOS,YESENIA CARRENO QUEVEDO,993911390,SAN JUAN DE LURIGANCHO,JU,7,17
MICAS Y FAROL EL TORITO,AV.WIESSE MZ.J-15 LT.29 MARISCALCACERES,NILSON LLATANCE LOJA,975-368780,SAN JUAN DE LURIGANCHO,MA,7,17
MOTO REPUESTOS D G,LOS POSTES 166 SAN HILARION,DEMETRIO VELAS QUEVEDO,999235690,SAN JUAN DE LURIGANCHO,MA,7,17
MOTOREPUESTOS CRUZ,AV CENTRAL MZ K7 LT 10 AAHH JESUS PEREZ,REYNALDO CRUZ DIAZ, ,SAN JUAN DE LURIGANCHO,MA,7,17
MOTOREPUESTOS G Y J,CLL COMERCIO LT 05 AAHH JOSE CARLOS MARI,GARCIA VARGAS JULIO CESAR, ,SAN JUAN DE LURIGANCHO,MA,7,17
MULTICAR SERVICE ANGELITO,CARRETERACIENEGUILLA KM.11 1/2,ANGEL ZOTA ENCARNACION,94488071,CIENEGUILLA,MI,5,17
MULTILIBRERIA,AV.RIVAAGUERO 1348,TONI ROBERT VILLAFANA, ,EL AGUSTINO,MI,5,17
MULTILLANTAS LOS ANGELES,AV PROCERES DE LA INDEPENDENCIA 2594,LUIS JESUS OTAROLA TOSCANI, ,SAN JUAN DE LURIGANCHO,LU,7,17
MULTILLANTAS MARISCAL - CE,AV. WISSE SOMOS LIBRES MZ. C LT. 2 PARAD,CRISTIAN RAMIREZ, ,SAN JUAN DE LURIGANCHO,SA,7,17
MULTILLANTAS PROCERES,AV LOS PROCERES DE LA INDEPENDENCIA  MZ,MAGDA MONICA OTAROLA DE LA TORRE, ,SAN JUAN DE LURIGANCHO,JU,7,17
MULTIMOTRIZ CASTILLO-CE,AV.CENTRAL MZ. A-5 LTE.7 URB. MARISCAL C,SR.JUAN CASTILLO TOCAS, ,SAN JUAN DE LURIGANCHO,MA,7,17
MULTISERVICIOS A.M.G. S.A.,AV.GALENAS 390,ALEX RICHARD HUARCAYA SOTELO, ,SAN JUAN DE LURIGANCHO,MA,7,17
MULTISERVICIOS ANGEL,LAS SENTITIVAS MZ D LT 6 LOS JARDINES,LILIANA ORDERO SUAREZ,940639847,SAN JUAN DE LURIGANCHO,MA,7,17
MULTISERVICIOS CEDESA,AV. SEPARADORA INDUSTRIAL ASOC. DE VIV.L,TORRES PORRAS CIRO ANDERSON,992262387,SANTA ANITA,JU,5,17
MULTISERVICIOS FABIAN,AV ENCALADA 389 - COOP CHANCAS DE ANDAHU,CANTORIN TOVAR JESUS, ,SANTA ANITA,MA,5,17
MULTISERVICIOS M Y R,AV PROCERES DE LA INDEPENDENCIA 2280 URB,EMILIA BELLIDO COLOS, ,SAN JUAN DE LURIGANCHO,LU,7,17
MULTISERVICIOS —AHUI,JR JOSE ANTONIO DE SUCRE MZ A LT 18,EMERSON LEAO —AHUI ACU—A, ,SANTA ANITA,JU,5,17
MULTISERVICIOS PAREDES SERVRCE,AV. JAIME BAUZATE Y MEZA 562,ELENA QUISPE MENDES DE PAREDES,995896512,LA VICTORIA,MI,5,17
MULTISERVICIOS ROSSY - 17 - CE,AV. NICOLAS DE PIEROLA MZ.D LT.19,CESI ROSY CASAICO TORREJON, ,ATE,LU,5,17
MULTISERVICIOS SAID,CALLE HUAYUCARI 202 A -C OOP 27 DE ABRIL,ROMANI MEDINA PITER, ,ATE,JU,5,17
MULTISERVICIOS SANTA ROSA - CE, AV.LA CULTURA WARI 389,GRIMALDO CALLUPE INCHE,980234030,SANTA ANITA,MA,5,17
MULTISERVICIOS VISTA ALEGRE SAC,MZ B LT 6 XOOP STA AURELIA,ROMERO CABANA ALFREDO, ,SANTA ANITA,JU,5,17
MULTSERVICIOS CAROLINA - CE,av. Santiago de Chuco 501,Dora Lopez Lazo, ,SANTA ANITA,MA,5,17
NANCYED NET,PROL HUANUCO 2456,MALPARTIDA HUAYANEY EDSON ALFREDO, ,LA VICTORIA,VI,5,17
NEGOCIACIONES ALVARADO,AV LA ESPERANZA 555 SAN GREGORIO ,ALVARADO SALVIO JACINTO MARCEL, ,ATE,LU,5,17
NEGOCIACIONES SILVIA,AV LAS FLORES 276 URB SAB RAFAEL ,SILVIA CELINDA CLERQUE GONZALES, ,SAN JUAN DE LURIGANCHO,JU,7,17
NEUMATICOS Y ENERGIAS BONY S.A.C.,AV MALECON CHECA MZ 87 LT 1 - LOS ALAMOS,BONIFACIO ALMERCO AGRIPINO, ,SAN JUAN DE LURIGANCHO,JU,7,17
NIKOL CELL,AV RIVA AG‹ERO 1352,PRADO MIRANDA ZORAIDA NIKOL, ,EL AGUSTINO,MI,5,17
—AHUY, ,ROXANA, ,SAN LUIS,VI,5,17
PERNO CENTRO ALEX I,AV CANTO GRANDE MZ D LT 23,ALEX AGUILAR REODRIGUEZ, ,SAN JUAN DE LURIGANCHO,MA,7,17
PINTO MOTORS,AV MURO Y CENTRAL MZO9 LT 1 URB MARISCAL,CRUZ DIAZ JOSE RAMOS, ,SAN JUAN DE LURIGANCHO,MA,7,17
POLARIZADOS FONCY II,AV ANDRES AVELINO CACERES INT 1 LT 14 AA,TORREJON RAMON FONSY RAUL, ,ATE,LU,5,17
POLARIZADOS Y GIGANTOGRAFIAS FONSY,MZ C LT C1 URB LA FLORESTA - —A—A (A UNA,TORREJON RAMON FONSY RAUL, ,CHACLACAYO,LU,5,17
POLARIZADOS Y REPUESTOS IMPACT DECOR,AAHH HUAYCAN ZONA B -  AV JOSE CARLOS MA,YESABELA TREJO LUGO, ,ATE,LU,5,17
PORTOFINO PUBLICIDAD Y SERVICIOS EIRL -,Av Canada 3560,Graciela Esther Sehiaffino Lopez, ,SAN LUIS,SA,5,17
PRODUCCIONES Y DISTRIBUCIONES B Y B SAC,AV.RIVAGUERO 1077,BLANCA BARBOZA CALDERON, ,EL AGUSTINO,MI,5,17
RAUL MOTORS II - CE,AV EL AIRE,GIANELLA MEDINA VALDIVIA, ,SAN LUIS,SA,5,17
REP. Y SERV. ALEX - CE,Av. La Colectora Mz. D Lt. 11 -Santa Ani,Rosario Teresa Castro Reyna, ,ATE,JU,5,17
REPSUR-CE,AV. PROCERES 2669,VICTOR BASILIO FELIX, ,SAN JUAN DE LURIGANCHO,SA,7,17
REPUESTOS JOCELYN,AV. WIESSE MZ.P 16 LT.23 CPARADERO 6 1/2,ELIZABETH HUAMAN SANCHEZ, ,SAN JUAN DE LURIGANCHO,MA,7,17
REPUESTOS L & S MOTOS,AV HUANCARAY 1150 METROPOLITANA,LOAYZA LEON VICTOR NARCISO, ,SANTA ANITA,LU,5,17
REPUESTOS LUBRICANTES EL PUMA,AV PRINCIPAL MZ A LT 09 ASOC SAN CRISTOB,WALTER ALEX GARRO POMA, ,SAN JUAN DE LURIGANCHO,JU,7,17
REPUESTOS LUCHO,AV LOS POSTES 585 URB HUAYRONA - PARQUE ,LUIS ANTONIO CONTRERAS MARTINEZ, ,SAN JUAN DE LURIGANCHO,MA,7,17
REPUESTOS SAN CARLOS,PROCERES DE LA IND 2660 URB SAN CARLOS,HUAMANCIZA ROJAS MIGUEL ANGEL, ,SAN JUAN DE LURIGANCHO,LU,7,17
REPUESTOS SANTA ROSA  - CE,AV. MICHAEL FARADAY  518,ELIZABETH HUAYLLA ROJAS,991111374,ATE,MI,5,17
REPUESTOS TICO-CE,AV.28 DCE JULIO 1445,ROXANA MANRRIQUE, ,LA VICTORIA,MI,5,17
REPUESTOS VARGAS-CE,"AV. WISSE  MZ.K, LT. 2 PARD. 17 CDRA. 42",AURELIA GUTIERREZ PAYE,945941534,SAN JUAN DE LURIGANCHO,SA,7,17
"REPUESTOS Y ACCESORIOS AUTOMOTRIZ \""LINZA",PROLONG. HUANUCO 2659- LA VICTORIA,MANUEL RUFINO SANCHEZ SANCHES, ,LA VICTORIA,VI,5,17
REPUESTOS Y ACCESORIOS SHADAI,AV. MEXICO 1214 LA VICTORIA,NELY LUZMILA ACOSTA MARI√ëO,980853668,LA VICTORIA,VI,5,17
REPUESTOS Y ACCESORIOS SHADAI II,C. CIENEGULLA MZ B LT 10 COOP VIV EL PAR,EDGAR JOSE RIOS LUNA, ,PACHACAMAC,MI,5,17
REPUESTOS Y ACCESORIOS SILVIA-CE,AV. PROCERES DE LA INDP N¬∞ 2757  S.J.L,BASILIA VEGA QUISPE, ,SAN JUAN DE LURIGANCHO,MA,7,17
REPUESTOS Y LUBRICANTES JUNIOR,AV MARCO PUENTE LLANAS MZ A LT 04,FRANCISCO ESPINOZA BA—EZ, ,ATE,LU,5,17
REPUESTOS Y SERVICIOS AUTOMOTRIZ,JR. COYLLUR 185-ZARATE,ARMANDO MOISES LARICO RAMOS,991976138,SAN JUAN DE LURIGANCHO,JU,7,17
REPUESTOS YORCHS,AV. PROCERES 2751 PAR. SAN CARLOS,SILVIA CHOQUE CONDORI, ,SAN JUAN DE LURIGANCHO,SA,7,17
RV GAS SAC,AV LOS POSTES 532,EDSON VILCHEZ, ,SAN JUAN DE LURIGANCHO,MA,7,17
SANCHEZ CAR - O17 - CE,AV. SAN MARTIN MZ.B LT.10 CIENEGUILLA,MIGUEL SANCHEZ PARIONA, ,CIENEGUILLA,MI,5,17
SE—OR CAUTIVO DE AYABACA -VENTA E INSTAL,AV PROC DE IND 3521 URN LOS PINOS,VASQUEZ VASQUEZ LUVER OLIVIA, ,SAN JUAN DE LURIGANCHO,LU,7,17
SERV. AUTOMOTRIZ ORLANDF CAR,AV. PROC. DE LA INDEP. 2364,ORLANDO VASQUEZ RAMIREZ, ,SAN JUAN DE LURIGANCHO,LU,7,17
SERV. COMUNICACI”N M & G SAC,AV ESTRELLA 262 SANTA CLARA,COTERA CURI ASCENCIO MAURO, ,ATE,LU,5,17
SERV. GENERALES LUCHO-CE,AV. LAS FLORES  N¬∞ 2516 STA. ELIZABETH,MARIBEL REBECA MEJIA PALACIOS,998666927,SAN JUAN DE LURIGANCHO,MA,7,17
SERVICENTRO MOVIL - CE,AV.RIVAGUERO  CUADRA 2,ANGEL ZACARIAS, ,EL AGUSTINO,MI,5,17
SERVICENTRO PEMAX - O17 - CE,Av. Lima Sur N∫ 1222 - Chosica,Pedro Marcelo Samaniego Chumbe,993772538,CHOSICA,LU,5,17
SERVICENTRO SAN ISIDRO - CE,AV. LOS EUCALIPTOS 1298,GIOVANNA ALMENARA HUAYTA, ,SANTA ANITA,MA,5,17
SERVICES GUERRERO,AV. GRAN CHIMU 701 ZARATE- S.J.L.,EDWIN GUERRO PINTUDO, ,SAN JUAN DE LURIGANCHO,JU,7,17
SERVICIO ELECTRICO DIESEL RUIZ - CE,Av. Colectora Asoc. El trebol Mz.F Lt.22,FRANCISCO N. RUIZ LOAYZA,988079324,SANTA ANITA,JU,5,17
SERVICIOS DE CONVERSIONES APOLO EIRL - C,AV. LAS DUNAS MZ.A LT.18 MUSA,FEDERICO E. AGUILAR CUSI, ,CIENEGUILLA,MI,5,17
SERVICIOS EL MILAGRO,AV GRAN CHIMU 1025 ZARATE,JOSE LUIS ROMERO PAREDES, ,SAN JUAN DE LURIGANCHO,VI,7,17
SERVICIOS GENERALES TAGORETEL,MZ D LT 23 VILLA VITARTE,PALOMINO SOTO JUAN, ,ATE,LU,5,17
SERVICIOS MARY,CALLE ALEJANDRO PERALTA 126 URB VILLA VI,MARIA HUAROCO AVILA, ,SAN JUAN DE LURIGANCHO,LU,7,17
SERVICIOS ORELLANA,MZ A9 LT 28 AAHH MARISCAL CECERES,ORELLANA CANO MICHAEL JIMMY, ,SAN JUAN DE LURIGANCHO,MI,7,17
SHIRLEY COLORS - CE,AV. CANAD√Å 1831,MARTHA NAHUI VARGAS,997703996,SAN LUIS,SA,5,17
SPORT CAR ANISA EIRL,AV.LOS PROCERES 2661,ASCENCIO VILLACORTA SANCHEZ, ,SAN JUAN DE LURIGANCHO,SA,7,17
SUPER CAR,MZ A1 LT 2 LOS PINOS SJL,JOSEFINA ARGUELLES BASILIO, ,SAN JUAN DE LURIGANCHO,JU,7,17
"TALLER DE SOLDADURA AUTOGENA \""PANCHO\""¬∑",CALLE 16 MZ. G 2 LT.5 2DA. ETP. AAHH ANC,FRANCISCO √ëAHUI FERNANDEZ,986583197,EL AGUSTINO,MI,5,17
