ncontrato,fechaemision,fechavigenciacontdesde,fechavigenciaconthasta,fechavigenciacertdesde,fechavigenciacerthasta,cuotas,flotas,cliename,num_doc
00165,23/07/2012,27/07/2012,27/07/2013,27/06/2013,27/07/2013,12,36,E.T. TABLADA 2000 S.A.,20426932785
00070,22/07/2009,27/07/2009,27/07/2010,27/06/2010,27/07/2010,12,51,E.T. TABLADA 2000 S.A.,20426932785
00117,21/07/2010,27/07/2010,27/07/2011,27/06/2011,27/07/2011,12,43,E.T. TABLADA 2000 S.A.,20426932785
00143,26/07/2011,27/07/2011,27/07/2012,27/06/2012,27/07/2012,12,34,E.T. TABLADA 2000 S.A.,20426932785
00257,17/01/2017,17/01/2017,17/01/2018,17/12/2017,17/01/2018,12,36,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00269,17/01/2018,17/01/2018,17/01/2019,17/02/2018,17/03/2018,12,37,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00200,17/01/2014,17/01/2014,17/01/2015,17/12/2014,17/01/2015,12,26,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00222,17/01/2015,17/01/2015,17/01/2016,17/12/2015,17/01/2016,12,41,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00241,15/01/2016,15/01/2016,15/01/2017,17/12/2016,17/01/2017,12,46,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00151,17/01/2012,17/01/2012,17/01/2013,17/12/2012,17/01/2013,12,45,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00173,17/01/2013,17/01/2013,17/01/2014,17/12/2013,17/01/2014,12,10,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00199,17/01/2014,17/01/2014,17/01/2015,17/01/2014,17/02/2014,12,54,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00043,17/01/2009,17/01/2009,17/01/2010,17/12/2009,17/01/2010,12,56,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00094,16/01/2010,17/01/2010,17/01/2011,17/12/2010,17/01/2011,12,23,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00127,15/01/2011,17/01/2011,17/01/2012,17/12/2011,17/01/2012,12,68,EMP. DE TRANSP. NUEVO SAN JUAN S.A,20430414446
00158,22/05/2012,22/05/2012,22/05/2013,22/04/2013,22/05/2013,12,7,EMPRESA DE TRANSPORTES CALIZO S.A.,20432782230
00179,22/05/2013,22/05/2013,22/05/2014,22/04/2014,22/05/2014,12,4,EMPRESA DE TRANSPORTES CALIZO S.A.,20432782230
00014,6/05/2009,7/11/2008,7/11/2009,7/10/2009,7/11/2009,12,21,E.T. YAGASOL S.A.C,20505459033
00089,5/11/2009,7/11/2009,7/11/2010,7/10/2010,7/11/2010,12,28,E.T. YAGASOL S.A.C,20505459033
00103,5/04/2010,5/04/2010,5/04/2011,5/06/2010,5/07/2010,12,78,INVERSIONES M. MILLAN S.A.C,20512400061
00160,13/06/2012,14/06/2012,14/06/2013,14/05/2013,14/06/2013,12,28,EMP.TRANSP. MULT. CAMIRA S.A.,20515453629
00181,14/06/2013,15/06/2013,15/06/2014,15/05/2014,15/06/2014,12,24,EMP.TRANSP. MULT. CAMIRA S.A.,20515453629
00206,13/06/2014,15/06/2014,15/06/2015,15/05/2015,15/06/2015,12,25,EMP.TRANSP. MULT. CAMIRA S.A.,20515453629
00061,15/06/2009,12/06/2009,11/06/2010,12/05/2010,11/06/2010,12,31,EMP.TRANSP. MULT. CAMIRA S.A.,20515453629
00110,12/06/2010,12/06/2010,12/06/2011,12/05/2011,12/06/2011,12,21,EMP.TRANSP. MULT. CAMIRA S.A.,20515453629
00137,13/06/2011,13/06/2011,13/06/2012,13/05/2012,13/06/2012,12,19,EMP.TRANSP. MULT. CAMIRA S.A.,20515453629
00069,14/07/2009,15/07/2009,15/07/2010,15/06/2010,15/07/2010,12,52,NIETO SANTIAGO CORP.Y TURISMO S.A.C.,20522276406
00074,1/08/2009,1/08/2009,1/08/2010,1/07/2010,1/08/2010,12,42,NIETO SANTIAGO CORP.Y TURISMO S.A.C.,20522276406
00172,28/12/2012,29/12/2012,29/12/2013,28/11/2013,28/12/2013,12,12,E. T. EXPRESS SERV. MULTIPLES VILLA GRANDE S.A.,20549052208
00196,30/12/2013,30/12/2013,30/12/2014,30/12/2013,30/12/2013,12,10,E. T. EXPRESS SERV. MULTIPLES VILLA GRANDE S.A.,20549052208
00197,30/12/2013,30/12/2013,30/12/2014,30/11/2014,30/12/2014,12,20,E. T. EXPRESS SERV. MULTIPLES VILLA GRANDE S.A.,20549052208
00185,22/07/2013,22/07/2013,22/07/2014,22/07/2013,22/08/2013,12,6,EMPRESA DE TRANS. PEGASSO EXPRESS S.A.,20504710557
00189,12/09/2013,12/09/2013,12/09/2014,12/01/2014,12/02/2014,12,18,EMPRESA LA PERLA SA,20134968894
00210,24/07/2014,28/07/2014,28/07/2015,28/08/2014,28/09/2014,12,32,E.T.S LA GRAN ESTRELLA SAC,20426621194
00191,24/09/2013,24/09/2013,24/09/2014,24/08/2014,24/09/2014,12,3,EMP. TRANSP. PUERTO CHICO IERL,20379095641
00192,26/09/2013,26/09/2013,26/09/2014,26/08/2014,26/09/2014,12,16,EMP. TRANSP. MONTENEGRO SA,20171986371
00219,26/09/2014,26/09/2014,26/09/2015,26/08/2015,26/09/2015,12,11,EMP. TRANSP. MONTENEGRO SA,20171986371
00238,28/09/2015,28/09/2015,28/09/2016,28/07/2016,28/08/2016,12,5,EMP. TRANSP. MONTENEGRO SA,20171986371
00193,10/10/2013,10/10/2013,10/10/2014,10/06/2014,10/07/2014,12,1,EMP. DE TRANSP. TABLADA SA,20170760787
00211,25/07/2014,28/07/2014,28/07/2015,28/08/2014,28/09/2014,12,35,BUENA ESTRELLA S.R.L.,20252130501
00212,25/07/2014,28/07/2014,28/07/2015,28/08/2014,28/09/2014,12,35,INV. Y SERV. MULT. LA NUEVA ESTRELLA S.A.C.,20498952161
00213,25/07/2014,28/07/2014,28/07/2015,28/08/2014,28/09/2014,12,100,INV. Y SERV. MULT. LA NUEVA ESTRELLA S.A.C.,20498952161
00218,17/09/2014,17/09/2014,17/09/2015,17/08/2015,17/09/2015,12,7,EMP. TRANSP. MULTIPLES NEW WORLD SAC,20513965291
00237,19/09/2015,19/09/2015,19/09/2016,19/08/2016,19/09/2016,12,3,EMP. TRANSP. MULTIPLES NEW WORLD SAC,20513965291
00230,9/07/2015,10/07/2015,10/07/2016,10/06/2016,10/07/2016,12,29,INKA CROWN TRAVEL,20489418186
00249,11/10/2016,11/07/2016,11/07/2017,11/06/2017,11/07/2017,12,49,INKA CROWN TRAVEL,20489418186
